episode,step,cat_id,state_mean,state_std,action_idx,intent,reward,done,next_state_mean,next_state_std
2,179,orange,0.032216,0.149528,0,idle_wander,0.0,False,0.032636,0.150856
2,180,orange,0.042924,0.929494,8,hide,0.0,False,0.042871,0.929466
2,181,orange,0.03126,0.14176,0,idle_wander,-0.2,False,0.031437,0.142167
2,182,orange,0.032636,0.150856,0,idle_wander,-0.2,False,0.032703,0.151144
2,183,orange,0.042871,0.929466,8,hide,0.0,False,0.105599,0.886774
2,184,orange,0.031437,0.142167,0,idle_wander,0.0,False,0.030905,0.140555
2,185,orange,0.032703,0.151144,14,stare_at_window,0.0,False,0.032299,0.150231
2,186,orange,0.105599,0.886774,8,hide,0.0,False,0.106205,0.887014
2,187,orange,0.030905,0.140555,0,idle_wander,0.0,False,0.031503,0.14228
2,188,orange,0.032299,0.150231,0,idle_wander,0.0,False,0.033025,0.15246
2,189,orange,0.106205,0.887014,8,hide,0.5,False,0.10575,0.886808
2,190,orange,0.031503,0.14228,0,idle_wander,0.0,False,0.03104,0.140644
2,191,orange,0.033025,0.15246,0,idle_wander,0.0,False,0.032691,0.151593
2,192,orange,0.10575,0.886808,4,sleep,0.3,False,0.08681,0.888759
2,193,orange,0.03104,0.140644,0,idle_wander,0.0,False,0.031283,0.141312
2,194,orange,0.032691,0.151593,0,idle_wander,0.0,False,0.033062,0.15289
2,195,orange,0.08681,0.888759,0,idle_wander,0.0,False,0.08632,0.888545
2,196,orange,0.031283,0.141312,0,idle_wander,0.0,False,0.030786,0.13977
2,197,orange,0.033062,0.15289,0,idle_wander,0.0,False,0.032692,0.152184
2,198,orange,0.08632,0.888545,0,idle_wander,0.0,False,0.086552,0.888604
2,199,orange,0.030786,0.13977,8,hide,0.0,False,0.092572,0.57188
2,200,orange,0.032692,0.152184,0,idle_wander,0.0,False,0.033045,0.153346
2,201,orange,0.086552,0.888604,0,idle_wander,0.0,False,0.086344,0.888506
2,202,orange,0.092572,0.57188,8,hide,0.0,False,0.098152,0.788585
2,203,orange,0.033045,0.153346,0,idle_wander,0.0,False,0.032957,0.15347
2,204,orange,0.086344,0.888506,0,idle_wander,0.0,False,0.086181,0.888434
2,205,orange,0.098152,0.788585,8,hide,0.0,False,0.128302,0.917483
2,206,orange,0.032957,0.15347,14,stare_at_window,0.0,False,0.032675,0.153135
2,207,orange,0.086181,0.888434,0,idle_wander,0.0,False,0.086583,0.888562
2,208,orange,0.128302,0.917483,8,hide,0.0,False,0.101059,0.979792
2,209,orange,0.032675,0.153135,0,idle_wander,0.0,False,0.033482,0.155477
2,210,orange,0.086583,0.888562,0,idle_wander,0.0,False,0.086201,0.888391
2,211,orange,0.101059,0.979792,8,hide,0.0,False,0.05676,1.004117
2,212,orange,0.033482,0.155477,0,idle_wander,0.0,False,0.033267,0.155215
2,213,orange,0.086201,0.888391,0,idle_wander,0.0,False,0.086513,0.888512
2,214,orange,0.05676,1.004117,8,hide,0.0,False,0.056968,1.004206
2,215,orange,0.033267,0.155215,0,idle_wander,0.0,False,0.033556,0.156281
2,216,orange,0.086513,0.888512,0,idle_wander,0.0,False,0.086265,0.888398
2,217,orange,0.056968,1.004206,8,hide,0.0,False,0.081924,0.98128
2,218,orange,0.033556,0.156281,0,idle_wander,0.0,False,0.033441,0.156257
2,219,orange,0.086265,0.888398,0,idle_wander,0.0,False,0.086141,0.888343
2,220,orange,0.081924,0.98128,8,hide,0.5,False,0.081435,0.981214
2,221,orange,0.033441,0.156257,0,idle_wander,0.0,False,0.033435,0.156545
2,222,orange,0.086141,0.888343,0,idle_wander,0.0,False,0.096501,0.912807
2,223,orange,0.081435,0.981214,0,idle_wander,0.0,False,0.081669,0.981306
2,224,orange,0.033435,0.156545,1,approach_player,0.0,False,0.033775,0.157889
2,225,orange,0.096501,0.912807,0,idle_wander,0.0,False,0.096231,0.912683
2,226,orange,0.081669,0.981306,0,idle_wander,0.0,False,0.081422,0.981177
2,227,orange,0.033775,0.157889,12,accept_petting,0.0,False,0.033627,0.157646
2,228,orange,0.096231,0.912683,0,idle_wander,0.0,False,0.095939,0.912568
2,229,orange,0.081422,0.981177,0,idle_wander,0.0,False,0.081155,0.981056
2,230,orange,0.033627,0.157646,0,idle_wander,0.0,False,0.03344,0.157151
2,231,orange,0.095939,0.912568,0,idle_wander,0.0,False,0.095594,0.912459
2,232,orange,0.081155,0.981056,0,idle_wander,0.0,False,0.080833,0.980939
2,233,orange,0.03344,0.157151,1,approach_player,-0.1,False,0.051889,0.575154
2,234,orange,0.095594,0.912459,0,idle_wander,0.0,False,0.095511,0.912427
2,235,orange,0.080833,0.980939,0,idle_wander,0.0,False,0.080774,0.980898
2,236,orange,0.051889,0.575154,1,approach_player,-0.1,False,0.047121,0.792286
2,237,orange,0.095511,0.912427,8,hide,0.0,False,0.118313,0.883305
2,238,orange,0.080774,0.980898,8,hide,0.0,False,0.080718,0.980873
2,239,orange,0.047121,0.792286,1,approach_player,-0.1,False,0.070925,1.012786
2,240,orange,0.118313,0.883305,8,hide,0.0,False,0.118825,0.883509
